year,CHN,DEU,FRA,GBR,JPN,RUS,USA
1920,40278456.0,429208300.0,151777540.0,480472480.0,74280270.0,18991476.0,1747166700.0
1921,38762732.0,473179970.0,137909300.0,332187780.0,66809380.0,20595948.0,1432479000.0
1922,39971524.0,455460830.0,163150600.0,439608350.0,71429680.0,25118048.0,1446013000.0
1923,46517556.0,331929100.0,184189280.0,466067230.0,75907090.0,27746602.0,1909034400.0
1924,48846084.0,451793180.0,206634940.0,488240160.0,79347580.0,33057492.0,1711686500.0
1925,45954840.0,458065950.0,213827380.0,460999000.0,82011310.0,32627244.0,1758185500.0
1926,43660164.0,413236900.0,213732110.0,261066020.0,82604880.0,47273650.0,1906048500.0
1927,45808580.0,481185800.0,213039620.0,481344130.0,89482210.0,58773852.0,1862839200.0
1928,47591444.0,505010900.0,211619150.0,454453470.0,92390570.0,65292970.0,1830965000.0
1929,48281828.0,539234750.0,234282100.0,478205950.0,94880340.0,70315310.0,1963506200.0
1930,49558456.0,462091780.0,237634190.0,460804770.0,86165784.0,95588780.0,1744916200.0
1931,51904660.0,385964900.0,217493550.0,430978720.0,77904010.0,114837200.0,1484959100.0
1932,50269150.0,347485760.0,191775420.0,414564930.0,77980500.0,129387880.0,1257814100.0
1933,54111180.0,364980800.0,199387060.0,412268770.0,91342500.0,144604200.0,1348876800.0
1934,62382628.0,408619780.0,201350060.0,445277200.0,101202820.0,174916260.0,1436238600.0
1935,72645970.0,452332830.0,195372340.0,451205500.0,106382490.0,197995140.0,1492320900.0
1936,75477250.0,499634430.0,198079070.0,476535360.0,116849070.0,227038910.0,1713411700.0
1937,70968650.0,563512600.0,217705010.0,491703230.0,125430960.0,232156980.0,1792609900.0
1938,61365520.0,601272640.0,201798460.0,472755740.0,131735120.0,245030510.0,1515749900.0
1939,74426990.0,648625500.0,194617020.0,474288770.0,127746840.0,248035660.0,1670920400.0
1940,90790530.0,654325000.0,137737090.0,500083070.0,153244270.0,297361760.0,1874985100.0
1941,113978570.0,660793200.0,119927290.0,499796060.0,154604580.0,261240080.0,2043585000.0
1942,127613384.0,667899400.0,122495736.0,492995900.0,147791840.0,142024860.0,2198264800.0
1943,108994540.0,679430140.0,125245670.0,490218620.0,150637470.0,148225390.0,2272059100.0
1944,103003570.0,600273150.0,79986440.0,489670370.0,138732700.0,214954380.0,2444903700.0
1945,55892210.0,116064530.0,107165640.0,453074080.0,76635160.0,227572200.0,2359551500.0
1946,36107050.0,271682430.0,165245170.0,464411970.0,52706560.0,255750450.0,2257493800.0
1947,41836136.0,317660030.0,183624110.0,485231840.0,70032370.0,307964200.0,2485854500.0
1948,38400104.0,377816400.0,196500540.0,503510100.0,88082370.0,327703600.0,2582558700.0
1949,62081100.0,432148030.0,229050910.0,507551520.0,98420104.0,372516130.0,2164862200.0
1950,78835304.0,510498620.0,202450910.0,499227600.0,102540984.0,415234050.0,2541485300.0
1951,102115210.0,576631100.0,228945170.0,543790900.0,123380700.0,450021700.0,2618704400.0
1952,128002990.0,610757060.0,227217330.0,527412700.0,130362000.0,481900860.0,2551215900.0
1953,133786500.0,623250200.0,214771790.0,539100540.0,145868600.0,509826180.0,2612971300.0
1954,160881020.0,659493700.0,226601010.0,552031400.0,142662190.0,556805060.0,2489462300.0
1955,190521500.0,723231040.0,239267600.0,576119940.0,142006910.0,631364300.0,2728508400.0
1956,215827650.0,765941600.0,268807100.0,573744700.0,160800780.0,692229300.0,2859987500.0
1957,255788690.0,777665860.0,277881700.0,570248800.0,188279260.0,757514750.0,2835772200.0
1958,524624400.0,756119100.0,266527340.0,555993400.0,181420860.0,808559360.0,2747107600.0
1959,720162560.0,755483140.0,262329810.0,546364300.0,192920450.0,850093000.0,2831908400.0
1960,798810940.0,813602200.0,298395840.0,583902800.0,232829570.0,885069800.0,2897308000.0
1961,570641150.0,834506300.0,318161820.0,588578200.0,283131330.0,912752600.0,2886861800.0
1962,459625400.0,882842560.0,335538270.0,592920450.0,293278460.0,957987460.0,2993898500.0
1963,456786780.0,945241540.0,340421950.0,603382000.0,325267800.0,1027400260.0,3126484000.0
1964,460644400.0,968631740.0,371374000.0,607866000.0,359352600.0,1092664400.0,3264306400.0
1965,500293700.0,959842050.0,365844930.0,622115260.0,386969630.0,1159118800.0,3399539200.0
1966,549466700.0,951154560.0,382835940.0,618078340.0,419780260.0,1224087400.0,3571417600.0
1967,460233200.0,936013200.0,407292540.0,592064300.0,489915650.0,1279968800.0,3705461000.0
1968,495513900.0,984581950.0,421116100.0,606495600.0,562568260.0,1315942400.0,3840923400.0
1969,607694340.0,1051802900.0,446577900.0,628389900.0,653852800.0,1370467700.0,4035156200.0
1970,807963650.0,1025802500.0,463946460.0,652584700.0,769747650.0,1441378600.0,4339704300.0
1971,909209860.0,1037079230.0,497045800.0,660395600.0,799647100.0,1529596300.0,4365483500.0
1972,968635800.0,1041356400.0,517593100.0,648033600.0,861053600.0,1609329400.0,4573033500.0
1973,1008268600.0,1085602800.0,542646300.0,659584400.0,914265900.0,1677295900.0,4777725000.0
1974,1028063500.0,1062510850.0,524736700.0,617187260.0,914306240.0,1741161700.0,4608462300.0
1975,1183153500.0,1002285760.0,486023100.0,603254400.0,869814900.0,1830213400.0,4414455300.0
1976,1226339500.0,1090807700.0,527371840.0,598533300.0,909575100.0,1900700900.0,4621539000.0
1977,1340715300.0,1052513300.0,511269060.0,604369000.0,935554000.0,1965350500.0,4749501000.0
1978,1492517500.0,1079066600.0,532682500.0,604728060.0,905087550.0,2032849200.0,4897339000.0
1979,1525417300.0,1117745500.0,536053000.0,644509200.0,957147100.0,2049708800.0,4908766000.0
1980,1494297900.0,1099901200.0,514509470.0,579039040.0,948551700.0,2130355200.0,4730218500.0
1981,1476280000.0,1048362200.0,462596380.0,560547140.0,930377400.0,2089791000.0,4543633400.0
1982,1606239100.0,1015499600.0,443395520.0,548229400.0,900724400.0,2129189500.0,4311918600.0
1983,1693746700.0,1011436300.0,426039200.0,545474100.0,884423800.0,2159389000.0,4346381000.0
1984,1844212700.0,1033017500.0,414655870.0,529097200.0,940541800.0,2178563300.0,4479379500.0
1985,1997193300.0,1043912800.0,407801860.0,559634600.0,915276160.0,2349517300.0,4495378400.0
