year,CHN,DEU,FRA,GBR,JPN,RUS,USA
1965,1536.1942,2969.2932,1347.1725,2316.2246,1831.8372,,14439.7
1966,1669.308,2977.0012,1376.6533,2327.5,2078.875,,15247.364
1967,1501.0684,2969.4314,1461.8832,2328.214,2332.107,,15778.539
1968,1516.6958,3170.4126,1538.5549,2411.4243,2569.2876,,16719.387
1969,1845.1862,3419.778,1691.6643,2498.7302,2995.7112,,17583.424
1970,2361.6985,3611.0166,1831.6134,2551.043,3418.7854,,18205.84
1971,2800.1243,3643.557,1895.4021,2503.8496,3581.7507,,18589.01
1972,3018.8367,3770.2227,2017.9841,2540.6985,3835.0571,,19514.082
1973,3186.8928,3987.3542,2191.6658,2667.0833,4209.336,,20339.795
1974,3286.7617,3918.0273,2151.3804,2533.1792,4170.8545,,19842.607
1975,3680.4414,3764.5679,2034.1217,2388.2493,4130.073,,19319.48
1976,3874.8267,4016.9045,2154.3,2437.3584,4304.3193,,20376.508
1977,4225.152,4007.1907,2197.6228,2482.9485,4284.7803,,20895.646
1978,4632.0327,4152.177,2278.2778,2497.1929,4377.4624,,21359.291
1979,4771.826,4382.9087,2342.6821,2614.0388,4458.664,,21584.4
1980,4827.5337,4239.2324,2327.355,2381.1255,4298.5576,,20751.957
1981,4763.8496,4107.2334,2293.1763,2315.1917,4230.3076,,20138.094
1982,4976.87,3962.4907,2210.5032,2285.1692,4100.7246,,19318.14
1983,5297.698,4018.5115,2259.899,2294.409,4220.4644,,19250.531
1984,5685.1445,4166.9907,2338.5737,2293.4165,4371.0884,,20235.69
1985,6150.371,4290.3286,2415.4453,2390.7263,4481.0884,9555.139,20184.246
1986,6444.106,4254.676,2472.164,2457.0554,4475.0376,9724.456,20371.607
1987,6950.2393,4291.178,2528.0325,2452.9358,4670.1104,10042.625,21055.266
1988,7467.112,4305.7656,2561.4714,2485.6873,4927.338,10218.061,22014.584
1989,7836.4365,4260.1895,2593.2905,2488.6924,5060.553,10255.829,22546.824
1990,7938.2495,4192.6416,2649.8232,2508.3933,5184.285,10076.104,22609.195
1991,8337.61,4090.6428,2834.176,2561.2166,5363.508,9938.643,22579.719
1992,8773.708,4009.3376,2857.941,2545.3274,5426.2935,9566.62,22913.111
1993,9457.634,3991.5266,2853.8882,2574.725,5516.9785,8919.131,23396.387
1994,10048.8125,3954.172,2824.7595,2543.823,5718.397,8138.4243,23824.13
1995,10352.658,3974.7952,2904.198,2552.5454,5911.9053,7702.033,24343.418
1996,10907.45,4105.8457,3012.3484,2676.295,6029.414,7413.202,25165.373
1997,10981.134,4053.187,2965.6794,2629.9988,6146.9644,7011.005,25354.096
1998,11000.566,4019.6316,3037.222,2651.6182,6049.681,6997.947,25513.363
1999,11386.068,3963.5603,3078.016,2639.2192,6144.011,7086.5376,25965.076
2000,11800.284,3988.1792,3117.9092,2664.1162,6253.3237,7214.0903,26546.236
2001,12470.063,4062.799,3143.0464,2691.8062,6185.7036,7328.2676,25918.357
2002,13580.491,4011.723,3118.9194,2630.84,6165.8965,7298.4604,26297.27
2003,15818.756,4010.471,3153.0417,2668.7344,6162.9126,7448.4673,26383.084
2004,18509.137,4009.8933,3180.13,2690.6519,6247.1064,7514.088,26899.117
2005,21027.164,3962.6353,3154.079,2712.6824,6353.936,7503.903,26912.564
2006,23048.334,4062.3872,3128.9307,2678.3374,6336.102,7836.9365,26699.963
2007,25049.576,3893.4233,3075.7896,2604.1924,6275.421,7878.335,27066.71
2008,26020.463,3934.6663,3084.8447,2558.8162,6158.0845,7914.626,26407.25
2009,27158.898,3692.1782,2908.9104,2422.8115,5622.332,7522.19,25110.527
2010,29055.61,3847.1514,3001.2307,2475.1465,5983.169,7814.236,25953.547
2011,31336.537,3710.5847,2897.7097,2332.1885,5669.594,8080.549,25729.088
2012,32624.18,3761.9163,2894.8584,2375.146,5615.2847,8128.3633,25047.367
2013,33852.566,3868.517,2925.0532,2388.4731,5576.2207,8032.5254,25728.629
2014,34729.066,3710.4646,2797.7822,2255.7075,5431.795,8057.7617,25995.914
2015,35135.99,3780.8599,2823.4268,2279.4673,5363.2607,7930.555,25747.426
2016,35277.71,3841.4512,2766.5972,2246.9219,5295.8193,8086.0635,25727.05
2017,36649.383,3949.556,2756.229,2251.043,5354.1963,8135.7427,25822.156
2018,38409.82,3845.4136,2790.4287,2246.4243,5317.6704,8432.209,26768.988
2019,40188.723,3753.7036,2731.3474,2192.9846,5205.6,8370.03,26578.494
2020,41493.89,3498.915,2444.2654,1982.8427,4825.2397,8075.7134,24630.395
2021,43847.18,3598.4924,2597.5605,1990.9673,5029.708,8331.266,25956.828
2022,44516.492,3455.45,2306.192,2009.9438,4996.7715,8626.76,26512.51
2023,47072.01,3178.886,2406.5137,1929.6262,4858.5303,8760.904,26216.545
2024,48987.1,3195.4414,2519.9006,1936.9596,4794.8164,9049.149,26528.611
