CHN,DEU,FRA,GBR,JPN,RUS,USA
,4457.0,5144.0,7017.0,2973.9624,636.9061,10152.927
,4906.0,4901.0,6792.0,3244.352,566.739,9674.881
,5310.0,5754.0,7391.0,3243.83,678.9262,10009.715
,4383.0,5984.0,7587.0,3243.5498,775.43677,11071.243
,5099.0,6661.0,7844.0,3316.3572,901.1648,11126.713
,5630.0,6641.0,8199.0,3414.354,1061.9501,11149.772
,5746.0,6773.0,7868.0,3358.5393,1207.4231,11647.768
,6282.0,6621.0,8472.0,3346.892,1242.7766,11532.397
,6519.0,7063.0,8539.0,3554.1157,1281.7412,11451.069
1003.0,6457.0,7508.0,8772.0,3665.0867,1300.6028,11954.235
1012.0,6333.0,7224.0,8673.0,3334.1082,1345.4911,10694.982
1015.0,5821.0,6751.0,8190.0,3320.8108,1411.7631,9930.964
1039.0,5359.0,6311.0,8206.0,3529.2878,1459.3623,8380.504
923.0,5668.0,6757.0,8411.0,3786.8018,1529.9011,8048.2246
937.0,6150.0,6682.0,8939.0,3755.6877,1696.5791,8667.092
1007.0,6567.0,6513.0,9244.0,3825.303,1897.6437,9680.839
1065.0,7095.0,6765.0,9620.0,3985.5457,2040.5804,10568.013
1034.0,7468.0,7152.0,9911.0,4074.9224,2297.593,11295.099
1003.0,7960.0,7119.0,9988.0,4256.8413,2291.0984,10526.134
,8617.0,7640.0,9982.0,4803.7827,2368.6243,11171.448
,8612.0,6443.0,10928.0,4882.3984,2529.3845,12005.095
,9103.0,5274.0,11926.0,4986.24,2358.2986,13553.401
,9149.0,4752.0,12176.0,4938.54,2553.842,14869.861
,9389.0,4559.0,12344.0,4825.65,2447.8042,16050.218
,9698.0,3861.0,11803.0,4816.11,2391.635,16999.328
,7195.0,4101.0,11247.0,3677.67,2313.4446,16477.553
,3534.0,6145.0,10751.0,2771.37,2435.8582,14822.467
,3883.0,6596.0,10527.0,2710.95,2705.822,14311.547
,4517.0,7002.0,10753.0,2857.23,2940.4407,14734.232
,5231.0,7884.0,11088.0,2866.77,3106.3503,14196.672
799.0,6186.0,8266.0,11061.0,3062.0,3310.8347,15240.0
950.0,6704.0,8705.0,11354.0,3389.0,3456.2605,16125.0
1047.0,7257.0,8869.0,11303.0,3724.0,3686.9172,16444.0
1157.0,7818.0,9060.0,11709.0,3944.0,3849.795,16917.0
1049.0,8364.0,9428.0,12145.0,4116.0,4108.7524,16512.0
1119.0,9240.0,9881.0,12541.0,4417.0,4312.621,17370.0
1189.0,9846.0,10278.0,12639.0,4699.0,4615.279,17397.0
1195.0,10348.0,10779.0,12779.0,4999.0,4850.402,17406.0
1173.0,10739.0,10927.0,12698.0,5243.0,5114.7285,16946.0
1117.0,11440.0,11124.0,13134.0,5665.0,5326.702,17900.0
1057.0,12282.0,11792.0,13780.0,6354.0,5557.0,18057.0
874.0,12675.0,12302.0,14118.0,7055.0,5874.0,18175.0
926.0,13106.0,12859.0,14131.0,7614.0,6229.0,18976.0
1034.0,13367.0,13330.0,14583.0,8176.0,6405.0,19514.0
1152.0,14062.0,14057.0,15251.0,9035.0,6754.0,20360.0
1253.0,14642.0,14609.0,15545.0,9459.0,7068.0,21390.0
1261.0,14964.0,15213.0,15757.0,10370.0,7517.0,22529.0
1237.0,14979.0,15792.0,16018.0,11400.0,7943.0,22842.0
1178.0,15723.0,16365.0,16593.0,12725.0,8391.0,23691.0
1264.0,16641.0,17352.0,16820.0,14145.0,8563.0,24195.0
1398.0,17277.0,18187.0,17162.0,15484.0,9234.0,23958.0
1446.0,17657.0,18881.0,17440.0,16004.0,9567.0,24394.0
