year,CHN,DEU,FRA,GBR,JPN,RUS,USA
1920,463330522.0,63273356.0,38529587.0,46564792.0,56328237.0,77706431.0,103898175.0
1921,466341893.0,63445847.0,38594388.0,46584515.0,57076902.0,78424026.0,105407425.0
1922,468683169.0,63744670.0,38752667.0,46546526.0,57858589.0,79148248.0,106947578.0
1923,470344471.0,64170268.0,39004517.0,46450703.0,58674033.0,79879158.0,108519213.0
1924,472011663.0,64598707.0,39258004.0,46355077.0,59500970.0,80616819.0,110113945.0
1925,473684764.0,65030007.0,39513139.0,46259648.0,60339562.0,81361291.0,111732111.0
1926,475363795.0,65464186.0,39769931.0,46164416.0,61189973.0,82112638.0,113374057.0
1927,477048778.0,65901264.0,40028393.0,46069379.0,62052369.0,82870923.0,115040131.0
1928,478739734.0,66341260.0,40288534.0,45974538.0,62926919.0,83636211.0,116730690.0
1929,480666438.0,66789491.0,40485273.0,45944804.0,63798063.0,84408566.0,118261782.0
1930,482831090.0,67246048.0,40618294.0,45980369.0,64665549.0,85188053.0,119629770.0
1931,485235901.0,67711026.0,40687278.0,46081427.0,65529121.0,85974739.0,120830953.0
1932,487883101.0,68184518.0,40691906.0,46248173.0,66388515.0,86768690.0,121861566.0
1933,490774936.0,68666619.0,40631855.0,46480802.0,67243463.0,87569973.0,122717780.0
1934,493683911.0,69152129.0,40571892.0,46714602.0,68109421.0,88378655.0,123580010.0
1935,496610129.0,69641071.0,40512018.0,46949578.0,68986531.0,89194804.0,124448298.0
1936,499553692.0,70133471.0,40452232.0,47185735.0,69874936.0,90018492.0,125322686.0
1937,502514702.0,70629352.0,40392535.0,47423081.0,70774782.0,90849785.0,126203219.0
1938,505493263.0,71128740.0,40332925.0,47661620.0,71686216.0,91688756.0,127089938.0
1939,508423146.0,71499194.0,40314566.0,47890226.0,72625078.0,92535473.0,128160070.0
1940,511303712.0,71740083.0,40337546.0,48108804.0,73591941.0,93390010.0,129417367.0
1941,514134316.0,71850770.0,40401955.0,48317261.0,74587386.0,94252439.0,130865641.0
1942,516914309.0,71830612.0,40507882.0,48515502.0,75612006.0,95122832.0,132508765.0
1943,519643036.0,71678963.0,40655418.0,48703433.0,76666406.0,96001262.0,134350677.0
1944,522386167.0,71527635.0,40803492.0,48892093.0,77735509.0,96887805.0,136218191.0
1945,525143778.0,71376625.0,40952105.0,49081483.0,78819521.0,97782535.0,138111665.0
1946,527915947.0,71225935.0,41101259.0,49271606.0,79918650.0,98685527.0,140031458.0
1947,530702750.0,71075562.0,41250956.0,49462466.0,81033105.0,99596857.0,141977937.0
1948,533504263.0,70925507.0,41401199.0,49654066.0,82163102.0,100516604.0,143951473.0
1949,537916245.0,70888212.0,41598134.0,49851583.0,83270008.0,101444845.0,146051521.0
1950,544044355.0,69847778.0,41883122.0,50121020.0,86443278.0,103392364.0,154202683.0
1951,553758251.0,69782050.0,42333662.0,50346821.0,87849929.0,104844658.0,156481323.0
1952,565131435.0,69826948.0,42780274.0,50496231.0,89135133.0,106326385.0,158794223.0
1953,577557140.0,69935116.0,43227873.0,50727035.0,90324185.0,107851682.0,161168320.0
1954,590113859.0,70104621.0,43676898.0,50958246.0,91407673.0,109463245.0,163636303.0
1955,603547014.0,70334149.0,44136093.0,51176749.0,92425476.0,111160996.0,166200028.0
1956,616558585.0,70613897.0,44588525.0,51400458.0,93342005.0,112909102.0,168824962.0
1957,630356210.0,71088145.0,45036374.0,51655911.0,94108980.0,114730333.0,171499234.0
1958,644219478.0,71694674.0,45493502.0,51935640.0,94846958.0,116588767.0,174215305.0
1959,652708211.0,72241718.0,45963766.0,52226466.0,95622973.0,118293890.0,177145772.0
1960,654802068.0,72811635.0,46428136.0,52538548.0,96399755.0,119934143.0,180274556.0
1961,655773484.0,73376114.0,46893841.0,52884952.0,97217594.0,121604308.0,183489491.0
1962,665073690.0,73997000.0,47352626.0,53272836.0,98076405.0,123111721.0,186724275.0
1963,684552646.0,74698003.0,47817823.0,53652939.0,98958230.0,124449754.0,189825225.0
1964,704798263.0,75313480.0,48319087.0,54009130.0,99890175.0,125630156.0,192819457.0
1965,723415737.0,75966968.0,48772824.0,54359022.0,100916018.0,126634210.0,195653774.0
1966,742402206.0,76611025.0,49184651.0,54676346.0,101887833.0,127533630.0,198265400.0
