year,CHN,DEU,FRA,GBR,JPN,RUS,USA
1920,326052350.0,26018484.0,37910670.0,17541288.0,4667193.0,187575200.0,340558530.0
1930,322786620.0,26175792.0,37686136.0,18056520.0,5266174.0,206352580.0,370053400.0
1940,316815840.0,26392618.0,35941096.0,18512432.0,5982154.0,245838980.0,403366270.0
1950,311769730.0,25809198.0,34953830.0,19290580.0,6625146.0,178946460.0,437786880.0
1951,316649860.0,25706824.0,34886332.0,19299440.0,6720602.0,182289900.0,438932160.0
1952,320375260.0,25604200.0,34900710.0,19322262.0,6693922.0,185916500.0,440077300.0
1953,323319520.0,25500060.0,34964784.0,19356122.0,6762896.0,189736540.0,441222400.0
1954,325794300.0,25394720.0,35048424.0,19398784.0,6822879.0,193674660.0,442367460.0
1955,328051140.0,25289420.0,35143610.0,19448698.0,6767340.5,197670140.0,443512500.0
1956,330281820.0,25185508.0,35240976.0,19505056.0,6815028.0,201677600.0,444657540.0
1957,332623360.0,25084800.0,35341816.0,19567744.0,6858803.5,205666720.0,445802560.0
1958,335166940.0,24989206.0,35453948.0,19637240.0,6899529.0,209620750.0,446947550.0
1959,337971780.0,24900626.0,35600160.0,19714400.0,6937796.0,213275550.0,448092540.0
1960,341349570.0,19374996.0,34539000.0,19799992.0,7110000.0,221302940.0,447508480.0
1961,342349600.0,19374996.0,34539000.0,19799992.0,7110000.0,221302940.0,447508600.0
1962,345099680.0,19392994.0,34440000.0,19778992.0,7120000.0,224993140.0,443990720.0
1963,347949730.0,19401994.0,34354000.0,19746996.0,7020000.0,223940930.0,441442750.0
1964,350799680.0,19457994.0,34109000.0,19702996.0,7030000.0,223122560.0,439011780.0
1965,354599700.0,19533994.0,34001000.0,19584996.0,7004000.0,222801040.0,435872830.0
1966,358199680.0,19530994.0,33846000.0,19549998.0,6896000.0,221251980.0,435549900.0
1967,361799680.0,19411994.0,33629000.0,19553998.0,6838000.0,221047380.0,435306880.0
1968,365399680.0,19284994.0,33178000.0,19425998.0,6797000.0,220784340.0,435794800.0
1969,369999740.0,19253994.0,33173000.0,19380000.0,6652000.0,220959700.0,435446600.0
1970,374599650.0,19022996.0,32495000.0,18849000.0,6696000.0,220725870.0,434399600.0
1971,379249600.0,18951996.0,32623000.0,18843000.0,6541000.0,222529950.0,433299700.0
1972,383869630.0,18948996.0,32515000.0,18756000.0,6484000.0,222413060.0,432299780.0
1973,389479740.0,18896996.0,32460000.0,18696000.0,6447000.0,222237660.0,431199780.0
1974,396099740.0,18820996.0,32442000.0,18638000.0,6415000.0,222588420.0,430157820.0
1975,400709820.0,18791996.0,32357000.0,18583000.0,6273000.0,222296130.0,430157820.0
1976,406659800.0,18757996.0,32021000.0,18568000.0,6236000.0,222354600.0,430157820.0
1977,412599780.0,18708996.0,31910000.0,18490000.0,6215000.0,222413060.0,430330800.0
1978,418469760.0,18658996.0,31961000.0,18478000.0,6194000.0,222062300.0,428162800.0
1979,423189760.0,18593996.0,31834000.0,18452000.0,6174000.0,221711550.0,428162800.0
1980,427603780.0,18518996.0,31722000.0,18469000.0,6061000.0,221779970.0,428162800.0
1981,432908740.0,18460996.0,31687000.0,18320000.0,6042000.0,223364420.0,428162800.0
1982,442517630.0,18395996.0,31646000.0,18281000.0,6026000.0,223393630.0,431398850.0
1983,452927520.0,18329996.0,31565000.0,18216000.0,6011000.0,223481310.0,431398850.0
1984,464536600.0,18283996.0,31508000.0,18202000.0,5996000.0,223356220.0,431398850.0
